City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Jamestown,US,85.01,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
5,Murgab,TM,88.84,clear sky,37.4966,61.9714,Wepa Nurlyýew
6,Rikitea,PF,74.95,light rain,-23.1203,-134.9692,People ThankYou
8,Kirakira,SB,79.2,overcast clouds,-10.4544,161.9205,SanBiz Lodge
10,Puerto Ayora,EC,72.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
16,Hilo,US,80.28,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
19,Bekasi,ID,82.49,overcast clouds,-6.2349,106.9896,ASTON Imperial Bekasi Hotel & Conference Center
23,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
27,Yate,GB,71.24,overcast clouds,51.5407,-2.4184,The Moda House
31,Raiganj,IN,81.79,overcast clouds,25.6167,88.1167,Raiganj Tourist Lodge
34,Lafiagi,NG,75.96,light rain,8.8667,5.4167,Bus group international
35,Torbay,CA,78.76,broken clouds,47.6666,-52.7314,Gallows Cove
41,Ambikapur,IN,77.83,overcast clouds,23.1167,83.2,Hotel Birendra Prabha
43,Tahta,EG,88.07,clear sky,26.7693,31.5021,فندق الزيات
44,Acarau,BR,83.53,broken clouds,-2.8856,-40.12,castelo pizzaria
46,Sao Joao Da Barra,BR,75.29,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
49,Shingu,JP,77.85,clear sky,33.7333,135.9833,Shingu UI Hotel
52,Bandarbeyla,SO,75.6,scattered clouds,9.4942,50.8122,JABIR HOTEL
57,Kapaa,US,80.19,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
58,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
62,Guerrero Negro,MX,78.48,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
63,Bengkulu,ID,74.95,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
69,Galesong,ID,75.22,moderate rain,-5.3166,119.3661,Sapriadi Appy
70,Tarakan,ID,79.2,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
73,Hami,CN,74.53,clear sky,42.8,93.45,Laoyutang Resort
74,Katsuura,JP,77.99,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
76,Mitsamiouli,KM,75.43,clear sky,-11.3847,43.2844,Foyer ADM
77,Vaini,TO,73.92,broken clouds,-21.2,-175.2,Keleti Beach Resort
82,Gasa,PS,75.88,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
86,Sao Filipe,CV,75.47,overcast clouds,14.8961,-24.4956,Hotel Xaguate
88,Natal,BR,77.65,moderate rain,-5.795,-35.2094,Villa Park Hotel | Natal
