City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tera,NE,14.0078,0.7531,92.39,39,99,7.52,overcast clouds
1,Alice Springs,AU,-23.7,133.8833,35.15,75,0,0.0,clear sky
2,Jamestown,US,42.097,-79.2353,85.01,53,75,18.41,broken clouds
3,Honningsvag,NO,70.9821,25.9704,56.95,94,100,0.0,light rain
4,Teya,RU,60.3778,92.6267,51.55,95,48,2.89,scattered clouds
5,Murgab,TM,37.4966,61.9714,88.84,12,0,9.15,clear sky
6,Rikitea,PF,-23.1203,-134.9692,74.95,78,86,19.15,light rain
7,Cherskiy,RU,68.75,161.3,40.59,68,98,9.78,overcast clouds
8,Kirakira,SB,-10.4544,161.9205,79.2,84,94,2.75,overcast clouds
9,Beyla,GN,8.6833,-8.6333,68.83,95,61,2.75,light rain
10,Puerto Ayora,EC,-0.7393,-90.3518,72.55,85,73,5.99,broken clouds
11,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,83,20,17.27,few clouds
12,Goundam,ML,16.4145,-3.6708,93.83,38,21,8.32,few clouds
13,Kaitangata,NZ,-46.2817,169.8464,43.47,90,96,2.84,overcast clouds
14,Hanmer Springs,NZ,-42.5167,172.8167,36.16,89,100,2.17,overcast clouds
15,Hermanus,ZA,-34.4187,19.2345,53.67,75,100,0.96,overcast clouds
16,Hilo,US,19.7297,-155.09,80.28,95,75,5.75,heavy intensity rain
17,Aklavik,CA,68.2191,-135.0107,65.97,57,28,7.92,scattered clouds
18,Mar Del Plata,AR,-38.0023,-57.5575,56.08,53,99,14.0,overcast clouds
19,Bekasi,ID,-6.2349,106.9896,82.49,73,100,2.77,overcast clouds
20,Youhao,CN,47.8667,128.8333,60.94,98,41,1.57,scattered clouds
21,Harnosand,SE,62.6323,17.9379,66.2,92,100,12.15,overcast clouds
22,Luderitz,NA,-26.6481,15.1594,66.51,45,0,5.99,clear sky
23,Ribeira Grande,PT,38.5167,-28.7,77.4,78,20,8.05,few clouds
24,Cabo San Lucas,MX,22.8909,-109.9124,98.19,41,0,12.66,clear sky
25,Ushuaia,AR,-54.8,-68.3,31.66,86,40,17.27,shower snow
26,Albany,US,42.6001,-73.9662,96.17,43,14,1.99,few clouds
27,Yate,GB,51.5407,-2.4184,71.24,71,100,1.01,overcast clouds
28,Dunedin,NZ,-45.8742,170.5036,46.8,83,100,5.01,overcast clouds
29,Santa Barbara,US,34.7333,-120.0343,97.34,34,0,10.36,clear sky
30,Provideniya,RU,64.3833,-173.3,42.24,69,98,10.42,overcast clouds
31,Raiganj,IN,25.6167,88.1167,81.79,86,100,7.07,overcast clouds
32,Muriwai Beach,NZ,-36.8167,174.45,46.42,97,32,4.68,scattered clouds
33,Fairbanks,US,64.8378,-147.7164,61.61,65,75,0.0,broken clouds
34,Lafiagi,NG,8.8667,5.4167,75.96,87,62,3.2,light rain
35,Torbay,CA,47.6666,-52.7314,78.76,63,76,3.74,broken clouds
36,Pevek,RU,69.7008,170.3133,32.02,99,100,8.72,snow
37,Yellowknife,CA,62.456,-114.3525,60.85,58,96,8.46,overcast clouds
38,Rio Gallegos,AR,-51.6226,-69.2181,33.3,74,11,22.35,few clouds
39,Chokurdakh,RU,70.6333,147.9167,45.36,49,1,8.03,clear sky
40,Stryn,NO,61.9045,6.7226,58.14,92,96,5.88,overcast clouds
41,Ambikapur,IN,23.1167,83.2,77.83,85,100,2.37,overcast clouds
42,Murray Bridge,AU,-35.1167,139.2667,55.13,94,100,9.42,overcast clouds
43,Tahta,EG,26.7693,31.5021,88.07,18,0,8.41,clear sky
44,Acarau,BR,-2.8856,-40.12,83.53,65,65,15.23,broken clouds
45,Mataura,NZ,-46.1927,168.8643,37.47,95,100,0.54,overcast clouds
46,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,78,11,9.46,few clouds
47,Nuuk,GL,64.1835,-51.7216,57.81,62,75,18.41,broken clouds
48,New Norfolk,AU,-42.7826,147.0587,38.91,81,4,2.82,clear sky
49,Shingu,JP,33.7333,135.9833,77.85,92,4,4.27,clear sky
50,Ust-Kuyga,RU,70.0167,135.6,52.41,64,6,3.31,clear sky
51,Mount Gambier,AU,-37.8333,140.7667,47.52,84,100,8.05,light rain
52,Bandarbeyla,SO,9.4942,50.8122,75.6,84,25,28.74,scattered clouds
53,Richmond,US,37.5538,-77.4603,93.2,59,20,10.36,few clouds
54,South Lake Tahoe,US,38.9332,-119.9844,91.62,29,0,5.99,clear sky
55,Clyde River,CA,70.4692,-68.5914,37.8,95,100,3.02,overcast clouds
56,Nikolskoye,RU,59.7035,30.7861,67.91,81,0,2.68,clear sky
57,Kapaa,US,22.0752,-159.319,80.19,74,27,7.0,scattered clouds
58,Georgetown,MY,5.4112,100.3354,80.53,78,20,0.0,few clouds
59,Maralal,KE,1.0968,36.698,60.21,64,73,5.93,broken clouds
60,Taoudenni,ML,22.6783,-3.9836,94.77,33,72,11.9,light rain
61,Harlingen,US,26.1906,-97.6961,98.56,36,0,19.57,clear sky
62,Guerrero Negro,MX,27.9769,-114.0611,78.48,52,8,17.74,clear sky
63,Bengkulu,ID,-3.8004,102.2655,74.95,92,80,4.25,broken clouds
64,Saint-Philippe,RE,-21.3585,55.7679,65.79,83,46,14.52,light rain
65,Codrington,AU,-38.2667,141.9667,48.02,82,59,12.53,broken clouds
66,Elk City,US,35.412,-99.4043,95.36,30,100,15.01,moderate rain
67,Tran,BG,42.8353,22.6517,67.89,45,0,3.98,clear sky
68,Cape Town,ZA,-33.9258,18.4232,59.38,78,100,5.01,overcast clouds
69,Galesong,ID,-5.3166,119.3661,75.22,89,99,7.07,moderate rain
70,Tarakan,ID,3.3,117.6333,79.2,82,100,2.33,overcast clouds
71,La Ronge,CA,55.1001,-105.2842,59.41,65,100,11.14,overcast clouds
72,Klaksvik,FO,62.2266,-6.589,52.72,89,10,7.14,clear sky
73,Hami,CN,42.8,93.45,74.53,25,0,2.21,clear sky
74,Katsuura,JP,35.1333,140.3,77.99,92,70,14.5,broken clouds
75,Aswan,EG,24.0934,32.907,91.51,14,5,13.58,clear sky
76,Mitsamiouli,KM,-11.3847,43.2844,75.43,71,4,6.44,clear sky
77,Vaini,TO,-21.2,-175.2,73.92,77,59,10.25,broken clouds
78,Hobart,AU,-42.8794,147.3294,39.27,91,2,1.01,clear sky
79,Aldan,RU,58.6031,125.3894,57.2,95,54,0.78,broken clouds
80,Broken Hill,AU,-31.95,141.4333,45.57,86,18,10.49,few clouds
81,Bredasdorp,ZA,-34.5322,20.0403,47.88,87,100,1.86,overcast clouds
82,Gasa,PS,31.5,34.4667,75.88,76,5,3.71,clear sky
83,Castro,BR,-24.7911,-50.0119,67.08,72,39,4.23,scattered clouds
84,Benguela,AO,-12.5763,13.4055,68.0,84,74,1.68,broken clouds
85,Edissiya,RU,44.0511,44.5408,71.53,62,90,8.97,overcast clouds
86,Sao Filipe,CV,14.8961,-24.4956,75.47,85,95,7.94,overcast clouds
87,Te Anau,NZ,-45.4167,167.7167,33.42,95,48,1.28,scattered clouds
88,Natal,BR,-5.795,-35.2094,77.65,88,75,5.75,moderate rain
89,Salina Cruz,MX,16.1667,-95.2,89.73,57,94,8.63,overcast clouds
90,Labuhan,ID,-6.8844,112.2051,75.51,83,95,9.66,overcast clouds
91,Khatanga,RU,71.9667,102.5,50.09,84,100,13.53,overcast clouds
92,Krasnoarmeysk,RU,51.0239,45.6969,58.08,77,1,3.49,clear sky
93,Deputatskiy,RU,69.3,139.9,41.92,81,4,5.12,clear sky
94,Carnarvon,AU,-24.8667,113.6333,63.09,71,54,16.64,broken clouds
95,East London,ZA,-33.0153,27.9116,59.99,72,4,4.63,clear sky
96,Tuatapere,NZ,-46.1333,167.6833,43.75,90,99,1.48,overcast clouds
97,Butaritari,KI,3.0707,172.7902,80.22,77,95,4.68,moderate rain
98,Chuy,UY,-33.6971,-53.4616,54.68,89,99,6.38,overcast clouds
99,Busselton,AU,-33.65,115.3333,57.74,77,62,10.85,broken clouds
100,Padang,ID,-0.9492,100.3543,77.05,88,81,3.87,broken clouds
101,Okha,RU,53.5739,142.9478,54.55,93,100,11.03,overcast clouds
102,Hambantota,LK,6.1241,81.1185,79.27,81,99,19.3,moderate rain
103,San Cristobal,VE,7.7669,-72.225,77.18,57,77,6.91,broken clouds
104,Beloha,MG,-25.1667,45.05,64.47,87,3,5.55,clear sky
105,Thompson,CA,55.7435,-97.8558,62.76,77,75,3.44,broken clouds
106,Resen,MK,41.0889,21.0122,68.25,52,0,4.34,clear sky
107,Srednekolymsk,RU,67.45,153.6833,48.04,51,0,8.61,clear sky
108,Souillac,MU,-20.5167,57.5167,69.69,69,90,17.98,overcast clouds
109,Tabory,RU,58.5198,64.5495,53.4,96,6,5.1,clear sky
110,Uyuni,BO,-20.4597,-66.825,56.43,17,95,13.94,overcast clouds
111,Tupik,RU,54.4253,119.9327,59.65,95,55,0.74,broken clouds
112,Sinjai,ID,-5.1241,120.253,74.71,94,95,3.51,overcast clouds
113,Bethel,US,41.3712,-73.414,94.35,67,20,13.8,few clouds
114,Wasilla,US,61.5814,-149.4394,55.02,89,100,5.75,light rain
115,Ferme-Neuve,CA,46.7001,-75.4493,74.8,78,90,10.89,light rain
116,Vila Velha,BR,-20.3297,-40.2925,73.35,87,40,6.91,scattered clouds
117,Sarmanovo,RU,55.2553,52.5891,65.08,80,49,2.77,scattered clouds
118,Mulchen,CL,-37.7167,-72.2333,54.41,86,100,3.71,overcast clouds
119,Araguacu,BR,-12.9306,-49.8264,91.17,23,6,6.38,clear sky
120,Mayumba,GA,-3.432,10.6554,70.56,94,59,7.49,broken clouds
121,Punta Arenas,CL,-53.15,-70.9167,35.62,80,40,26.46,scattered clouds
122,Mardan,PK,34.2019,72.0525,82.17,72,99,4.34,overcast clouds
123,Faanui,PF,-16.4833,-151.75,77.54,73,11,12.97,few clouds
124,Tasiilaq,GL,65.6145,-37.6368,41.16,78,85,2.53,overcast clouds
125,Veydelevka,RU,50.1521,38.4492,56.12,96,46,6.76,scattered clouds
126,Talnakh,RU,69.4865,88.3972,52.93,88,12,6.42,few clouds
127,Rocha,UY,-34.4833,-54.3333,53.56,83,100,7.4,overcast clouds
128,Champerico,GT,14.3,-91.9167,85.75,66,100,6.13,overcast clouds
129,Lebu,CL,-37.6167,-73.65,53.13,81,98,9.6,overcast clouds
130,Bulaevo,KZ,54.9056,70.4439,58.37,89,87,12.44,overcast clouds
131,Arraial Do Cabo,BR,-22.9661,-42.0278,71.51,80,2,13.89,clear sky
132,Namatanai,PG,-3.6667,152.4333,78.58,81,64,6.02,broken clouds
133,Ostrovnoy,RU,68.0531,39.5131,53.76,81,99,5.95,overcast clouds
